Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
departamento,Benito Ju√°re,1714349.82,200,200,8650,19.350214,-99.162146
departamento,Cuajimalpa,13165950,410,410,1707.317073,19.401507,-99.14682
casa,¡lvaro ObregÛn,56425500,1250,1200,2500,19.390415,-99.254997
departamento,Benito Ju√°re,3071956.38,90,90,34444.44444,19.320575,-99.20929
departamento,¡lvaro ObregÛn,1031252.75,66,66,15767.68182,19.368475,-99.17952
departamento,Iztapalapa,1040748.03,98,98,10714.28571,19.368823,-99.224603
departamento,¡lvaro ObregÛn,4241395.55,65,65,65832.30769,19.3549174,-99.0993735
departamento,Benito Ju√°re,2676209.55,119,119,22689.07563,19.358585,-99.185753
departamento,Benito Ju√°re,999824.68,90,90,11210.57778,19.37038202,-99.14932823
casa,¡lvaro ObregÛn,3180961.41,300,300,10700,19.395097,-99.150424
departamento,Iztapalapa,505386.27,64,64,7968.75,19.365271,-99.232466
departamento,Benito Ju√°re,3963814.82,106,106,37735.84906,19.320269,-99.055412
departamento,Cuauht√©mo,1139596.67,65,65,17692.30769,19.367745,-99.180127
casa,Coyoac√°,6718666.29,240,240,28250,19.468092,-99.088883
departamento,Iztapalapa,475968.65,60,60,8003.333333,19.338417,-99.156145
casa,Iztapalapa,1105408.83,100,100,11155,19.359004,-99.092622
casa,Azcapotzalco,5787169.68,160,320,18250,19.325155,-99.088905
departamento,Benito Ju√°re,8621297.28,360,270,32222.22222,19.484102,-99.18436
departamento,Miguel Hidalgo,16295684.4,152,152,5700,19.3769448,-99.1651109
casa,Miguel Hidalgo,25391475,700,700,1928.571429,19.432609,-99.1941739
departamento,Cuauht√©mo,2942488.44,52,52,57102.88462,19.402305,-99.240641
departamento,Tlalpan,693832.02,71,71,9859.15493,19.405298,-99.164986
departamento,Benito Ju√°re,3002589.69,127,127,23858.26772,19.28182217,-99.18764267
departamento,Cuauht√©mo,387131.78,70,70,5580.942857,19.391074,-99.165737
departamento,Miguel Hidalgo,22852327.5,256,184,6603.26087,19.418844,-99.132357
departamento,Azcapotzalco,558289.31,70,70,8048.371429,19.4368736,-99.1973268
casa,Miguel Hidalgo,169276500,1200,1600,5625,19.484102,-99.18436
casa,¡lvaro ObregÛn,8918583.49,187,307,29315.96091,19.3818873,-99.2202827
departamento,Benito Ju√°re,4341406.55,85,85,51529.41176,19.358585,-99.185753
departamento,Iztacalco,626282.61,70,70,9028.571429,19.3943574,-99.1774462
departamento,Cuauht√©mo,1050410.9,53,53,20000,19.397649,-99.093087
casa,¡lvaro ObregÛn,4558387.05,350,350,13142.85714,19.408805,-99.129702
departamento,Benito Ju√°re,1768425.2,57,57,31308.22807,19.33923,-99.218987
departamento,Iztapalapa,872039.17,75,75,11733.33333,19.3499358,-99.2906864
departamento,Benito Ju√°re,4954768.48,110,110,45454.54545,19.313878,-99.094271
departamento,Benito Ju√°re,960667.08,60,60,16157.28333,19.427922,-99.160613
departamento,Benito Ju√°re,1693869.81,90,90,18992.58889,19.392025,-99.135302
casa,Gustavo A. Madero,3156187.61,289,289,11020.76125,19.384808,-99.155339
departamento,¡lvaro ObregÛn,878853.3,75,75,11822.21333,19.50772,-99.121305
casa,Gustavo A. Madero,3156936,200,200,15925,19.361114,-99.222666
departamento,Gustavo A. Madero,1988844.08,60,60,33450,19.50772,-99.121305
departamento,Benito Ju√°re,3071956.38,100,100,31000,19.493973,-99.130394
departamento,Cuajimalpa,6260161.89,110,110,57430.09091,19.394073,-99.153915
departamento,¡lvaro ObregÛn,4568197.57,130,130,35460.76923,19.371342,-99.253616
departamento,¡lvaro ObregÛn,1962088.23,65,65,30461.53846,19.390806,-99.195413
casa,Gustavo A. Madero,1535978.09,210,210,7380.952381,19.386852,-99.194748
departamento,Miguel Hidalgo,16790460.8,168,168,5313.72619,19.546144,-99.13029
departamento,¡lvaro ObregÛn,957921.23,103,103,9385.106796,19.4330857,-99.2005645
casa,Azcapotzalco,3936216.73,330,330,12036.81818,19.38499,-99.227853
departamento,Benito Ju√°re,6936675.98,330,330,21212.12121,19.47517,-99.152534
departamento,¡lvaro ObregÛn,3518719.94,100,100,35500,19.365528,-99.17952
departamento,Azcapotzalco,600516.84,70,70,8657.128571,19.3392293,-99.2189838
departamento,¡lvaro ObregÛn,607784.45,60,60,10222.21667,19.490331,-99.207579
casa,Cuauht√©mo,4678748.29,319,319,14800.81505,19.3821,-99.204573
departamento,Miguel Hidalgo,7830390.83,105,105,75238.09524,19.411685,-99.166322
casa,Miguel Hidalgo,13179684.53,490,725,18344.82759,19.407269,-99.190754
departamento,Venustiano Carranza,767989.04,62,62,12386.92,19.5462484,-99.131088
casa,Miguel Hidalgo,22791935.66,920,920,25000,19.42258851,-99.09567654
departamento,Cuauht√©mo,743391.47,15,66,11363.63636,19.405625,-99.237868
departamento,Iztapalapa,534123.97,69,69,7811.594203,19.461416,-99.133163
departamento,Cuajimalpa,9414060.32,330,330,28787.87879,19.363469,-99.010141
casa,Benito Ju√°re,10971839.54,150,150,73813.33333,19.364005,-99.153602
departamento,Benito Ju√°re,3072685.02,99,99,31313.13131,19.3023508,-99.1679459
departamento,Cuauht√©mo,1496694.85,75,75,20133.33333,19.37479206,-99.13727079
casa,Iztapalapa,1783716.69,120,120,15000,19.440749,-99.141649
departamento,Cuauht√©mo,409939.53,55,55,7521.490909,19.346931,-99.025154
casa,Benito Ju√°re,10407481.65,250,250,42000,19.45178,-99.15709
departamento,Miguel Hidalgo,5162868.92,85,85,61294.11765,19.381729,-99.164986
departamento,Benito Ju√°re,2220727.3,107,107,20943.92523,19.443333,-99.202983
casa,¡lvaro ObregÛn,93149650.53,113100,113100,831.1229001,19.39557,-99.132937
departamento,Azcapotzalco,1436882.88,64,64,22656.25,19.3447,-99.212753
casa,Miguel Hidalgo,47021250,1100,800,3125,19.478815,-99.196831
casa,Gustavo A. Madero,1585525.89,210,210,7619.047619,19.420166,-99.220367
departamento,Venustiano Carranza,460051.2,85,85,5461.776471,19.546411,-99.130511
departamento,Tlalpan,579970.25,110,110,5319.327273,19.409843,-99.125509
casa,Coyoac√°,1855154.39,193,193,9699.948187,19.282895,-99.166933
casa,Benito Ju√°re,7243871.64,442,442,16538.46154,19.338268,-99.128173
casa,Iztapalapa,1982377.34,118,385,5194.805195,19.395451,-99.183774
casa,Iztacalco,2534138.42,150,150,17044.44,19.359004,-99.092622
departamento,Coyoac√°,4227142.47,86,86,49152.81942,19.378562,-99.130993
departamento,Benito Ju√°re,3616981,85,85,42941.17647,19.30282,-99.164293
departamento,Cuauht√©mo,1833264.3,126,126,14682.53968,19.401331,-99.154029
departamento,Miguel Hidalgo,3295841.66,115,115,28921.12174,19.425758,-99.174333
departamento,Benito Ju√°re,2626027.34,83,83,31927.71084,19.428324,-99.176337
departamento,¡lvaro ObregÛn,9713649.44,240,120,81666.66667,19.365031,-99.147736
departamento,Xochimilco,1326316.17,90,90,14871.37778,19.320576,-99.20929
departamento,Coyoac√°,2018572.6,108,108,18861.11111,19.273713,-99.120741
departamento,Miguel Hidalgo,47021250,325,325,7692.307692,19.309713,-99.1262
departamento,Coyoac√°,1633745.61,80,80,20608.25,19.407269,-99.190754
departamento,Benito Ju√°re,2071093.27,93,93,22473.11828,19.348122,-99.125716
departamento,Cuauht√©mo,1430937.13,75,75,19253.33333,19.387579,-99.170353
departamento,Cuajimalpa,10801395.59,221,221,49321.26697,19.404442,-99.162688
departamento,Benito Ju√°re,3043714.28,106,106,28976.41509,19.393557,-99.265242
casa,Iztacalco,2069881.25,220,220,9494.440909,19.362511,-99.166374
departamento,Benito Ju√°re,1535978.09,74,74,20945.94595,19.396669,-99.067626
departamento,Benito Ju√°re,4806125.47,122,122,39754.09836,19.384506,-99.135865
casa,Iztapalapa,2421325.97,250,250,9773.72,19.390912,-99.172242
departamento,Miguel Hidalgo,19323597.66,180,180,108333.3333,19.362488,-99.108269
casa,Iztacalco,2725122.75,140,140,19642.85714,19.362619,-99.265706
departamento,Gustavo A. Madero,594713.1,69,69,8695.652174,19.379863,-99.123453
casa,Cuajimalpa,12684207.7,265,265,48301.88679,19.505199,-99.155991
departamento,Miguel Hidalgo,1090307.49,24,73,15068.49315,19.390415,-99.254997
departamento,Cuauht√©mo,4147141.27,80,80,52312.5,19.3883217,-99.1862188
departamento,Miguel Hidalgo,1962088.23,127,127,15590.55118,19.414597,-99.156686
casa,¡lvaro ObregÛn,28248878.68,420,460,61956.52174,19.399028,-99.175227
casa,Cuauht√©mo,4262111.42,300,308,13961.03896,19.390806,-99.195413
departamento,Benito Ju√°re,1528050.5,95,95,16231.57895,19.4615578,-99.130454
casa,Miguel Hidalgo,13381047.76,153,153,88235.29412,19.362864,-99.173988
casa,Cuajimalpa,1189144.46,180,180,6666.666667,19.407269,-99.190754
casa,Cuauht√©mo,4361230.34,240,388,11340.20619,19.364245,-99.302638
departamento,Azcapotzalco,1768852.34,65,65,27461.53846,19.46258802,-99.13285194
casa,Azcapotzalco,1288239.68,96,96,13541.66667,19.472155,-99.161186
departamento,Coyoac√°,1863434.64,133,133,14135.33835,19.469769,-99.157379
departamento,Iztapalapa,713486.52,56,56,12857.14286,19.31527185,-99.10758555
casa,Tlalpan,3537704.68,130,130,27461.53846,19.391754,-99.056058
departamento,¡lvaro ObregÛn,8918583.49,188,188,47872.34043,19.277746,-99.167284
departamento,Gustavo A. Madero,1988844.08,60,60,33450,19.3634215,-99.27632332
departamento,¡lvaro ObregÛn,693667.44,75,75,9333.333333,19.493973,-99.130394
departamento,Cuauht√©mo,3121504.17,37,37,85135.13514,19.390806,-99.195413
departamento,Benito Ju√°re,1337787.47,70,70,19285.71429,19.415513,-99.179369
departamento,Miguel Hidalgo,3295841.66,100,100,33259.29,19.383446,-99.137643
departamento,Coyoac√°,998959.49,75,75,13437.86667,19.428324,-99.176337
departamento,Venustiano Carranza,510340.99,60,60,8583.333333,19.324386,-99.124228
casa,Gustavo A. Madero,2378288.93,190,280,8571.428571,19.452689,-99.117987
departamento,Iztapalapa,946585.15,72,72,13263.88889,19.476545,-99.066788
departamento,Cuauht√©mo,6243008.35,128,128,49218.75,19.3915,-99.038137
departamento,Coyoac√°,3568279.4,180,180,20000,19.4070717,-99.1621603
casa,¡lvaro ObregÛn,7134866.79,220,220,32431.21268,19.3428273,-99.1522157
casa,¡lvaro ObregÛn,700222.21,395,395,1788.473418,19.3396614,-99.2373007
departamento,Miguel Hidalgo,3269651.77,122,122,27045.08197,19.342911,-99.224472
departamento,Venustiano Carranza,1852687.09,89,89,21006.74157,19.449148,-99.175534
departamento,Benito Ju√°re,5090642.78,104,104,48948.48827,19.436264,-99.099608
departamento,Venustiano Carranza,346916.01,60,60,5833.333333,19.3866412,-99.1805935
departamento,Coyoac√°,5401978.56,180,180,30277.77778,19.422676,-99.097893
departamento,Iztacalco,877104.86,64,64,13829.875,19.3049333,-99.1836755
departamento,Venustiano Carranza,607123.52,70,70,8752.371429,19.395901,-99.097612
departamento,Benito Ju√°re,4776050.11,136,136,35438.60294,19.457685,-99.121754
departamento,Azcapotzalco,729341.9,65,65,11323.07692,19.382013,-99.188522
departamento,Iztapalapa,639316.71,47,47,13723.40426,19.511198,-99.200576
casa,La Magdalena Contreras,1106895.27,72,72,15513.88889,19.3916358,-99.0557268
departamento,Benito Ju√°re,2774670.35,85,85,32941.17647,19.306983,-99.1804
departamento,Tlalpan,4955943.63,120,120,41666.66667,19.371992,-99.157853
casa,¡lvaro ObregÛn,20418487.85,800,660,31212.12121,19.3024064,-99.2018433
departamento,Miguel Hidalgo,489531.08,60,60,8233.333333,19.3228543,-99.2059887
departamento,Miguel Hidalgo,7283509.8,115,115,63913.04348,19.404918,-99.1978
departamento,Iztacalco,554934.07,45,45,12444.44444,19.437991,-99.188609
casa,¡lvaro ObregÛn,4905220.87,272,272,18198.52941,19.402752,-99.098587
departamento,Benito Ju√°re,1615254.41,78,78,20897.4359,19.33981,-99.216052
departamento,Cuauht√©mo,802672.48,58,58,13965.51724,19.396893,-99.152302
departamento,Gustavo A. Madero,346916.01,45,45,7777.777778,19.443178,-99.144234
departamento,Tlahuac,364757.37,45,45,8177.777778,19.4873329,-99.1236134
departamento,Cuajimalpa,13967192.1,285,285,2605.614035,19.270566,-99.004846
casa,Gustavo A. Madero,3963814.82,180,226,17699.11504,19.35735,-99.299792
departamento,Benito Ju√°re,2282496.3,75,75,30711.10667,19.482945,-99.113471
casa,¡lvaro ObregÛn,2972861.16,220,220,13636.36364,19.397686,-99.161395
departamento,Cuauht√©mo,1507300.58,50,50,30414,19.365271,-99.232466
departamento,Miguel Hidalgo,13704890.07,167,167,82814.37126,19.45553305,-99.16339561
departamento,Benito Ju√°re,2947420.41,70,70,42490.38571,19.448187,-99.161176
casa,Coyoac√°,3964754.87,94,232,17241.37931,19.386821,-99.164805
departamento,Cuauht√©mo,1129955.05,67,67,17014.92537,19.3393661,-99.1455392
departamento,Iztacalco,831409.99,50,50,16780,19.461306,-99.127826
departamento,Benito Ju√°re,3131413.62,70,70,45142.85714,19.419427,-99.067675
casa,Benito Ju√°re,14719152.54,384,629,23608.90302,19.384365,-99.156091
casa,Gustavo A. Madero,2992680.24,400,400,7550,19.38155587,-99.17294662
departamento,Cuauht√©mo,1224448.02,340,340,3633.332353,19.473623,-99.124863
departamento,Tlalpan,971134.57,63,63,15555.55556,19.416847,-99.154596
casa,¡lvaro ObregÛn,2338650.77,115,115,20521.73913,19.194247,-99.141976
departamento,Coyoac√°,2471776.76,94,94,26529.25532,19.364233,-99.243773
casa,La Magdalena Contreras,5767350.6,136,136,42794.11765,19.33388802,-99.15132701
departamento,Azcapotzalco,1535978.09,67,67,23134.32836,19.325355,-99.232561
departamento,Miguel Hidalgo,6401382.69,108,108,59813.14815,19.474223,-99.18722
departamento,Benito Ju√°re,2577090.63,78,78,33333.33333,19.4032833,-99.1821858
departamento,Cuauht√©mo,3865635.95,122,122,31967.21311,19.38250406,-99.15803991
departamento,Azcapotzalco,805447.11,75,75,10837.33333,19.408697,-99.181012
casa,Iztapalapa,649942.2,57,57,11503.85965,19.489901,-99.192497
casa,¡lvaro ObregÛn,27746704.33,750,750,37333.33333,19.325894,-99.059696
departamento,Benito Ju√°re,1755460.5,90,90,19678.51111,19.353921,-99.190427
departamento,Iztacalco,1040501.26,64,64,16406.25,19.39177,-99.159996
casa,¡lvaro ObregÛn,14867830.91,500,500,30000,19.385994,-99.106613
departamento,Iztacalco,2180098.12,83,83,26506.0241,19.341894,-99.224525
departamento,Cuauht√©mo,1486430.48,50,50,30000,19.368808,-99.112954
departamento,Coyoac√°,887597.18,66,66,13571.21212,19.404661,-99.133858
departamento,Miguel Hidalgo,667241.69,60,60,11222.21667,19.30241,-99.109299
departamento,Miguel Hidalgo,3934086.29,51,51,77843.13725,19.455894,-99.18355
departamento,Cuauht√©mo,4459291.65,120,120,37500,19.440935,-99.188522
casa,Miguel Hidalgo,6434136,230,230,28223.18696,19.41498,-99.177444
departamento,Iztapalapa,475842.07,80,80,6002.325,19.417168,-99.230481
departamento,Benito Ju√°re,3849855.06,121,121,32107.43802,19.383948,-99.067884
casa,Coyoac√°,14864305.82,328,328,45731.70732,19.368182,-99.176664
departamento,Benito Ju√°re,2675574.95,55,55,49090.90909,19.353813,-99.163605
casa,Iztapalapa,1169352.09,148,148,7973.155405,19.372684,-99.183678
casa,Tlalpan,7209188.2,237,237,30696.20253,19.357477,-99.075537
departamento,Venustiano Carranza,516970.61,50,50,10433.8,19.3402891,-99.1989148
casa,La Magdalena Contreras,8772020.14,270,270,32777.77778,19.422817,-99.058911
casa,Gustavo A. Madero,1929981.37,250,250,7790.4,19.315818,-99.227843
departamento,¡lvaro ObregÛn,5097779.1,106,106,48531.28302,19.480841,-99.067085
departamento,Tlahuac,1004371.45,60,60,16888.33333,19.331932,-99.246689
departamento,Coyoac√°,1608647.74,110,110,14757.57273,19.2990233,-99.0436467
departamento,Benito Ju√°re,8364640.25,220,314,26882.16561,19.347664,-99.125001
departamento,Miguel Hidalgo,812185.63,45,45,18213.33333,19.381729,-99.164986
departamento,Gustavo A. Madero,1981907.31,58,58,34482.75862,19.399689,-99.188522
casa,Miguel Hidalgo,6434136,426,426,15237.87089,19.492992,-99.149765
departamento,Benito Ju√°re,2836902.23,73,73,39216.43836,19.423365,-99.224539
casa,Cuajimalpa,1649563,220,220,7564.668182,19.3596034,-99.1514055
departamento,Benito Ju√°re,2675574.95,82,82,32926.82927,19.360048,-99.299593
departamento,Benito Ju√°re,5055053.14,101,101,50506.93069,19.381729,-99.164986
casa,Cuauht√©mo,1615637.54,218,218,7477.06422,19.39365,-99.14769
casa,Coyoac√°,1936472.18,120,141,13859.21986,19.41821,-99.152376
departamento,Coyoac√°,2824217.96,78,78,36538.46154,19.31260897,-99.12281916
departamento,Cuauht√©mo,604481.67,66,66,9242.424242,19.322523,-99.141464
departamento,Benito Ju√°re,2269283.89,120,120,19083.33333,19.446253,-99.157519
departamento,Benito Ju√°re,2643071.6,61,61,43724.59016,19.367931,-99.170262
departamento,Benito Ju√°re,3270147.18,100,100,33000,19.364891,-99.148384
departamento,Benito Ju√°re,763034.32,53,53,14528.30189,19.394358,-99.177444
casa,La Magdalena Contreras,773447.27,70,70,11147.47143,19.383599,-99.190834
departamento,Iztapalapa,1387664.04,98,98,14159.83714,19.272198,-99.220178
departamento,Cuajimalpa,5062875.03,117,117,43657.11111,19.3305971,-99.0536536
departamento,Iztacalco,715468.56,74,74,9756.756757,19.3503274,-99.2989735
departamento,Cuauht√©mo,872039.17,90,90,9777.777778,19.383251,-99.105499
departamento,Benito Ju√°re,2635471.09,62,62,42895.64516,19.427118,-99.141954
departamento,Benito Ju√°re,1132989.99,80,80,14291.6625,19.39912,-99.141464
departamento,La Magdalena Contreras,4072253.53,69,69,59018.1671,19.398983,-99.154034
departamento,Benito Ju√°re,2328741.13,90,90,26111.11111,19.315498,-99.220634
departamento,Benito Ju√°re,1694530.74,90,90,19000,19.387131,-99.147493
departamento,Benito Ju√°re,1588994.17,75,75,21380,19.384371,-99.135965
departamento,Cuauht√©mo,4842219.35,66,66,73366.95985,19.39557,-99.132937
casa,Gustavo A. Madero,4459291.65,160,160,28125,19.4151638,-99.1789099
departamento,Miguel Hidalgo,1962553.55,127,127,15590.55118,19.482945,-99.113471
departamento,Benito Ju√°re,1289260.41,64,64,20328.59375,19.400249,-99.177444
departamento,Miguel Hidalgo,2478962.93,85,85,29423.52941,19.383446,-99.137643
casa,Xochimilco,11894264.61,711,290,41379.31034,19.434723,-99.175887
departamento,Benito Ju√°re,831409.99,70,70,11985.71429,19.263462,-99.104913
departamento,Venustiano Carranza,624796.17,54,54,11675.92593,19.382649,-99.143384
casa,¡lvaro ObregÛn,13876642.15,177,400,35000,19.406759,-99.125172
departamento,Miguel Hidalgo,47265760.5,349,349,7200.573066,19.355921,-99.180214
departamento,Azcapotzalco,895822.14,60,60,15066.66667,19.433077,-99.198212
departamento,Benito Ju√°re,872246.06,70,70,12571.42857,19.49662,-99.185876
departamento,Benito Ju√°re,5844349.02,121,121,48729.77686,19.39617,-99.13791
casa,Cuajimalpa,2972861.16,150,150,20000,19.394358,-99.177444
departamento,Benito Ju√°re,3270147.18,127,127,25984.25197,19.401079,-99.24807
departamento,Benito Ju√°re,1486430.48,65,65,23076.92308,19.39177,-99.159996
casa,Gustavo A. Madero,4459291.65,296,296,15202.7027,19.370046,-99.146155
departamento,Benito Ju√°re,3616981,85,85,42941.17647,19.523924,-99.151918
casa,¡lvaro ObregÛn,1714349.82,90,90,19222.22222,19.3618265,-99.1542053
departamento,Iztapalapa,973720.93,110,110,8932.818182,19.35667,-99.235854
departamento,¡lvaro ObregÛn,883148.97,60,60,14850,19.308573,-99.07088
departamento,Cuauht√©mo,3567433.39,89,89,40449.4382,19.359901,-99.189606
departamento,Cuauht√©mo,1496340.12,80,80,18875,19.417364,-99.159454
departamento,Benito Ju√°re,1458287.33,85,85,17312.94118,19.427754,-99.171109
casa,Xochimilco,1832934.4,150,150,12331.11333,19.396705,-99.181902
departamento,¡lvaro ObregÛn,2972861.16,100,100,30000,19.263462,-99.104913
departamento,Tlalpan,1773807.06,57,57,31403.50877,19.340202,-99.257774
departamento,Benito Ju√°re,2417584.59,62,62,39339.93548,19.298168,-99.113106
casa,Miguel Hidalgo,7334048.43,420,420,17621.42857,19.39912,-99.141464
casa,Coyoac√°,4628851.22,275,327,14281.34557,19.401079,-99.24807
departamento,Benito Ju√°re,1694530.74,70,70,24428.57143,19.3439785,-99.1248628
departamento,Miguel Hidalgo,744206.07,59,59,12728.81356,19.369509,-99.172532
departamento,Cuauht√©mo,624448.78,50,50,12600,19.456595,-99.20456
casa,¡lvaro ObregÛn,4347353.61,360,360,12183.33333,19.4179232,-99.1483827
departamento,Miguel Hidalgo,8293458.17,255,255,32820.26667,19.367024,-99.180497
casa,Tlalpan,2834127.6,140,140,20428.57143,19.443178,-99.20237
casa,Tlahuac,1585901.87,110,220,7272.727273,19.300504,-99.122136
departamento,Coyoac√°,610805.09,86,86,7165.523256,19.270566,-99.004846
departamento,Miguel Hidalgo,3575911.51,97,97,37192.78351,19.307754,-99.12497
departamento,Iztacalco,812581.93,50,50,16400,19.3813197,-99.1996895
departamento,Cuauht√©mo,1219864.01,80,80,15387.5,19.410307,-99.065399
casa,Miguel Hidalgo,37617000,413,550,3636.363636,19.461871,-99.129227
departamento,Gustavo A. Madero,646774.66,60,60,10877.98333,19.420166,-99.220367
casa,Cuajimalpa,13876642.15,500,420,33333.33333,19.527836,-99.169827
casa,Gustavo A. Madero,1080233.65,148,148,7365.506757,19.4037619,-99.2513326
departamento,Iztapalapa,347926.96,42,42,8357.619048,19.456919,-99.105499
departamento,Benito Ju√°re,2540230.68,93,79,31582.27848,19.359004,-99.092622
departamento,¡lvaro ObregÛn,882939.64,80,80,11137.5,19.3638234,-99.1444714
casa,Miguel Hidalgo,16846213.33,291,291,58419.24399,19.359897,-99.18956
departamento,Benito Ju√°re,1672729.8,45,45,37511.11111,19.420166,-99.220367
departamento,Iztapalapa,518268.78,44,44,11886.36364,19.371992,-99.157853
departamento,Miguel Hidalgo,1129325.53,70,70,16280.5,19.346609,-99.072311
tienda,Cuauht√©mo,4211553.23,355,355,11971.83099,19.445816,-99.170462
departamento,Miguel Hidalgo,4261101.03,60,60,71666.66667,19.441646,-99.151884
departamento,Benito Ju√°re,3616981,85,85,42941.17647,19.407269,-99.190754
casa,¡lvaro ObregÛn,5539431.27,297,297,18821.54882,19.368544,-99.163605
departamento,Cuauht√©mo,1530496.35,60,60,25735.03333,19.340695,-99.211606
departamento,Benito Ju√°re,3071956.38,100,100,31000,19.444865,-99.156877
departamento,¡lvaro ObregÛn,1813445.22,62,62,29516.12903,19.381729,-99.164986
departamento,Miguel Hidalgo,495594.19,42,42,11904.7619,19.377369,-99.198052
departamento,Coyoac√°,1163890.85,70,70,16778.8,19.444584,-99.174675
departamento,Benito Ju√°re,17837166.99,567,567,31746.03175,19.352333,-99.121169
departamento,Miguel Hidalgo,744206.07,59,59,12728.81356,19.390525,-99.179751
departamento,Coyoac√°,2006681.12,60,60,33750,19.456595,-99.20456
departamento,Iztacalco,946585.15,76,76,12565.78947,19.328833,-99.133163
casa,¡lvaro ObregÛn,2592334.92,150,150,17440,19.4113101,-99.064722
departamento,Iztacalco,1164316.11,44,44,26703.29545,19.359668,-99.220902
departamento,Iztacalco,842310.64,56,56,15178.57143,19.443486,-99.211871
departamento,Gustavo A. Madero,646101.69,69,69,9449.275362,19.392349,-99.07093
casa,Iztapalapa,1783716.69,150,280,6428.571429,19.504602,-99.153096
casa,Iztapalapa,1981907.31,484,253,7905.13834,19.34343,-98.988029
casa,Miguel Hidalgo,18808500,470,550,1818.181818,19.3211179,-99.0755302
casa,Cuauht√©mo,13110317.84,550,550,24054.54545,19.40457976,-99.2446129
departamento,¡lvaro ObregÛn,647423.74,55,55,11878.8,19.450604,-99.144306
departamento,Benito Ju√°re,2272586.85,90,90,25481.47778,19.384327,-99.215523
casa,Gustavo A. Madero,651056.41,59,59,11135.59322,19.40099,-99.161174
departamento,Azcapotzalco,2332901.01,66,66,35346.985,19.515243,-99.132178
departamento,Cuauht√©mo,4390618.62,98,98,45211.22449,19.4653758,-99.1589568
departamento,Benito Ju√°re,2269283.89,90,90,25444.44444,19.407187,-99.172405
casa,Venustiano Carranza,1248601.52,79,79,15949.36709,19.400959,-99.162199
departamento,Venustiano Carranza,653038.45,50,50,13180,19.445241,-99.102692
departamento,Tlahuac,1564502.12,127,127,12428.4252,19.439037,-99.119514
casa,Miguel Hidalgo,5630559.39,195,195,29138.25641,19.2990233,-99.0436467
departamento,Benito Ju√°re,4784479.14,118,118,40916.57627,19.400249,-99.177444
departamento,¡lvaro ObregÛn,1872902.46,115,115,16434.78261,19.381729,-99.164986
casa,La Magdalena Contreras,11891444.66,252,252,47619.04762,19.378233,-99.2054
departamento,Miguel Hidalgo,7855909.45,243,243,32623.97119,19.304898,-99.241515
departamento,Iztapalapa,830720.47,49,49,17108.2449,19.443851,-99.202732
departamento,Cuajimalpa,14173998.7,226,226,63274.33628,19.357981,-99.080612
casa,Xochimilco,1783716.69,108,108,16666.66667,19.390415,-99.254997
departamento,Miguel Hidalgo,1709395.09,70,70,24642.85714,19.26328,-99.118411
departamento,Benito Ju√°re,743215.24,90,90,8333.333333,19.445816,-99.170462
casa,Gustavo A. Madero,1858038.11,200,200,9375,19.387651,-99.142257
departamento,Venustiano Carranza,475386.9,62,42,11419.35714,19.467705,-99.066788
departamento,Cuauht√©mo,8274463.46,147,147,56802.72109,19.4306069,-99.0949899
departamento,Azcapotzalco,1026627.92,60,60,17266.66667,19.430132,-99.169144
departamento,Cuauht√©mo,8474663.58,135,135,63333.33333,19.464437,-99.175369
departamento,Coyoac√°,1326887.01,42,42,31880.95238,19.441646,-99.151884
departamento,Miguel Hidalgo,9116774.3,144,144,63310.93264,19.350214,-99.162146
departamento,¡lvaro ObregÛn,1425982.41,70,70,20557.14286,19.4336394,-99.1871364
casa,Benito Ju√°re,4063358.24,200,200,20497.4,19.334546,-99.207876
departamento,Benito Ju√°re,1719304.54,197,197,8807.106599,19.362864,-99.173988
departamento,¡lvaro ObregÛn,2136011.56,60,60,35916.66667,19.39868,-99.132459
departamento,Coyoac√°,1609029.36,85,85,19098.03529,19.3605334,-99.2267067
departamento,Benito Ju√°re,4465831.93,117,117,38517.94872,19.347664,-99.125001
casa,Venustiano Carranza,5628636.6,350,350,16224.78,19.3978,-99.175813
casa,Iztapalapa,1981907.31,130,130,15245.44085,19.423249,-99.114297
departamento,Tlahuac,356827.9,56,56,6428.571429,19.3433456,-99.0233065
casa,Tlalpan,1581562,100,100,15960,19.301945,-99.0495332
departamento,Benito Ju√°re,1486430.48,100,100,15000,19.26723,-99.155769
departamento,Tlahuac,616238.3,60,60,10364.4,19.316264,-99.131627
departamento,Gustavo A. Madero,3517885.6,120,120,29583.33333,19.29312,-99.052935
casa,¡lvaro ObregÛn,734470.79,150,150,4940,19.498335,-99.131701
casa,Coyoac√°,2417927.09,210,210,11619.04762,19.380474,-99.245664
casa,La Magdalena Contreras,14567019.8,553,553,26582.27848,19.335068,-99.138237
casa,¡lvaro ObregÛn,5953273.75,260,260,23100.75385,19.315096,-99.261279
departamento,Miguel Hidalgo,16350736.5,225,225,73333.33333,19.338718,-99.252605
departamento,Benito Ju√°re,1248601.52,80,80,15750,19.426538,-99.223946
departamento,Cuauht√©mo,1802743,130,130,13993.84615,19.36269,-99.150565
departamento,Iztapalapa,619015.94,54,54,11567.90741,19.441733,-99.161653
casa,¡lvaro ObregÛn,63948900,926,926,3671.706263,19.324947,-99.083468
