Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
departamento,Coyoac√°,1178243.81,86,86,13825.5814,19.464928,-99.180214
casa,¡lvaro ObregÛn,3032318.4,200,200,15300,19.317741,-99.119331
departamento,Coyoac√°,2019051.28,80,80,25462.5,19.367477,-99.222025
departamento,Benito Ju√°re,1447135.39,60,60,24333.33333,19.305984,-99.127341
casa,Miguel Hidalgo,13377875.33,591,650,20769.23077,19.365843,-99.149901
casa,Iztapalapa,3536713.85,250,250,14276,19.401079,-99.24807
departamento,Miguel Hidalgo,31473636.07,228,228,7339.355263,19.383751,-99.071318
departamento,Benito Ju√°re,1486430.48,80,80,18750,19.407269,-99.190754
departamento,Benito Ju√°re,1290221.72,90,90,14466.66667,19.365843,-99.149901
departamento,Miguel Hidalgo,12421168.57,247,247,49392.71255,19.399841,-99.154813
departamento,Benito Ju√°re,2923313.36,73,73,40410.9589,19.407269,-99.190754
casa,Iztapalapa,1164370.47,90,90,13055.55556,19.394073,-99.153915
departamento,Cuajimalpa,14576587.5,360,360,2152.777778,19.363498,-99.015615
casa,Tlalpan,6442726.59,250,387,16795.86563,19.35735,-99.299792
departamento,Azcapotzalco,1050410.9,70,70,15142.85714,19.3012112,-99.1290556
departamento,Cuauht√©mo,2942488.44,52,52,57102.88462,19.465454,-99.162665
casa,Coyoac√°,3963814.82,160,160,24773.84262,19.405298,-99.164986
departamento,Benito Ju√°re,2972861.16,90,90,33333.33333,19.30738686,-99.10484701
departamento,Benito Ju√°re,2973566.1,89,56,53571.42857,19.334546,-99.207876
casa,Tlalpan,4688322.57,985,985,4802.030457,19.371992,-99.157853
casa,Xochimilco,3914267.21,113,311,12700.96463,19.286214,-99.222026
departamento,Cuauht√©mo,2854623.41,80,80,35682.79263,19.271181,-99.137314
casa,Cuajimalpa,40638737.87,700,1050,39047.61905,19.4233932,-99.1682732
departamento,Benito Ju√°re,2480945.34,69,69,36275.36232,19.390415,-99.254997
departamento,¡lvaro ObregÛn,696665.14,70,70,10043.21429,19.403312,-99.151204
casa,Iztacalco,2378288.93,187,187,12834.2246,19.376392,-99.192439
casa,Iztapalapa,2547246.44,250,250,10282,19.390301,-99.11161
departamento,Venustiano Carranza,777884.76,80,80,9810,19.373264,-99.104161
casa,Tlalpan,2155324.32,150,150,14500,19.416439,-99.125632
departamento,Benito Ju√°re,1714349.82,70,70,24714.28571,19.271242,-99.160156
casa,Coyoac√°,357471.52,65,65,5549.769231,19.401456,-99.146787
departamento,Iztacalco,891078.64,54,54,16648.14815,19.326115,-99.109844
departamento,Cuauht√©mo,4856824.72,84,84,58333.33333,19.4045899,-99.0601489
departamento,Miguel Hidalgo,3716076.4,97,97,38659.79381,19.4169673,-99.1658498
departamento,Cuauht√©mo,1872010.56,62,62,30469.35484,19.400249,-99.177444
departamento,Cuauht√©mo,1496340.12,90,90,16777.77778,19.45535854,-99.16329235
departamento,Azcapotzalco,1450920.6,90,90,16268.51111,19.440749,-99.141649
departamento,Iztacalco,841319.62,46,46,18456.52174,19.484532,-99.207027
departamento,Benito Ju√°re,3171051.78,97,97,32989.69072,19.410307,-99.065399
departamento,Benito Ju√°re,990953.65,98,98,10204.08163,19.379376,-99.165182
casa,Tlalpan,3996472.77,150,150,26880,19.389044,-99.179657
departamento,Gustavo A. Madero,2328741.13,110,110,21363.63636,19.274141,-99.166374
departamento,Azcapotzalco,2438616.06,98,98,25111,19.478473,-99.120734
casa,Tlalpan,3765624.01,109,184,20652.17391,19.469769,-99.157379
departamento,Miguel Hidalgo,1249935.41,85,85,14839.36471,19.2801195,-99.2137844
departamento,Miguel Hidalgo,25391475,350,350,3857.142857,19.452143,-99.181477
casa,Gustavo A. Madero,1843173.75,96,2,930000,19.40113516,-99.25544396
departamento,Cuajimalpa,2775328.27,65,65,43076.92308,19.45103064,-99.06553824
departamento,Miguel Hidalgo,5331331.01,287,287,18745.6446,19.3499358,-99.2906864
departamento,Benito Ju√°re,2910129.92,74,74,39675.67568,19.43475,-99.189814
departamento,Cuauht√©mo,1497661.04,351,351,4305.792023,19.3807458,-99.1553016
departamento,¡lvaro ObregÛn,1784139.7,64,64,28125,19.445742,-99.159469
departamento,Azcapotzalco,1436882.88,64,64,22656.25,19.386551,-99.193708
departamento,Benito Ju√°re,2040262.75,63,63,32673.01587,19.466822,-99.157379
departamento,¡lvaro ObregÛn,3389865.35,150,150,22800,19.370501,-99.139389
casa,¡lvaro ObregÛn,29679064.23,1084,1084,27629.15129,19.382986,-99.241837
departamento,Miguel Hidalgo,19328180.17,297,272,71691.17647,19.326543,-99.195963
casa,Iztapalapa,505386.27,100,100,5100,19.407269,-99.190754
casa,Xochimilco,7595905.45,371,368,20824.53804,19.383948,-99.067884
casa,Gustavo A. Madero,1431927.96,90,144,10034.72222,19.27071225,-99.13967215
departamento,Venustiano Carranza,990953.65,10,10,100000,19.4548897,-99.0538781
